Код номенклатуры,Описание товара,Местоположение,Доступно
80294334,Штанга гладкая MITTE Q16004AB  D16 мм  160 см  античная латунь,012_825-06-04-0,16
80335701,Штора MICASA JACQUELINE JL701  голубой (21)  150х280 см  рогожка  лента,012_825-10-05-0,12
80342722,Штора MICASA Landry A90030A-01  фиолетовый  200х280 см  блэкаут  лента,012_825-10-02-2,6
80349764,Тюль MICASA ALDA SP-1569  серый (131)  300х280 см  вуаль  лента,012_825-10-01-2,16
80349773,Тюль MICASA ALESSA K66  белый (101)  300х280 см  сетка  лента,012_825-10-03-1,10
80349778,Тюль MICASA ALESSA K66  светло-фиолетовый (108)  300х280 см  сетка  лента,012_825-10-03-1,10
80374174,Тюль MICASA Vita MB-012  белый (1)  200х280 см  имитация льна  лента,012_825-11-08-0,36
80522443,Тюль MICASA NICOLLETTA RC03B43  белый  300х280 см  сетка  лента,012_825-10-01-1,8
80522443,Тюль MICASA NICOLLETTA RC03B43  белый  300х280 см  сетка  лента,012_825-10-02-0,8
80522769,Тюль MICASA Valentina MY-10836  белый (1)  полосы  300х280 см  сетка  лента,012_825-10-01-2,6
80522776,Штора для кухни MICASA Anastasio JTH-154  бежевый (3)  150х180 см  рогожка  люверсы,012_825-10-04-0,6
80522777,Штора для кухни MICASA Anastasio JTH-154  капучино (4)  150х180 см  рогожка  люверсы,012_825-10-03-0,6
80522778,Штора для кухни MICASA Anastasio JTH-154  серо-коричневый (13)  150х180 см  рогожка  люверсы,012_825-10-04-0,6
80523782,Карниз двухрядный раздвижной MITTE Jacomo 16.10.591-2  D13/16 мм  120-210 см  серебряный,012_825-06-04-0,10
80523783,Карниз двухрядный раздвижной MITTE Jacomo 16.10.591-2  D13/16 мм  160-300 см  серебряный,012_825-06-04-0,10
